,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19270725,   0.24,  -0.04,  -0.02,   0.46,   0.57,   0.32,   0.37,   0.86,   0.18,   0.69
19270726,  -0.57,   0.62,   0.11,   0.02,   0.55,   0.25,  -0.01,   0.83,   0.00,   0.36
19270727,  -1.04,   0.07,   0.14,  -0.05,  -0.12,   0.33,   0.12,   0.32,  -0.28,  -0.19
19270728,  -0.29,  -0.09,  -0.18,   0.56,  -0.17,   0.55,   0.27,   0.23,  -0.57,   0.91
19270729,  -0.37,   0.33,  -0.30,   1.61,   0.22,   0.46,   0.16,   0.22,   1.04,   0.22
19270730,   1.02,   0.37,   0.37,   0.39,   0.69,   0.34,   0.91,   0.40,   0.47,   0.98
19270801,  -1.25,   0.07,   0.10,   0.31,   0.87,   0.48,   0.35,   0.98,   0.81,   1.41
19270802,   1.38,   0.18,   0.78,   0.42,   0.76,   0.44,   1.09,   0.69,   0.58,   0.79
19270803,   0.99,   1.09,  -0.33,  -0.16,  -0.68,  -0.93,  -0.59,  -1.11,  -0.88,  -0.70
19270804,   1.01,   2.92,   1.80,   1.50,   0.87,   0.44,   0.59,   0.82,   0.76,   0.56
19270805,   0.76,  -0.75,  -0.14,  -0.52,  -0.24,  -0.52,  -0.73,  -0.55,  -1.22,  -1.67
19270806,   0.75,   0.13,  -0.43,  -0.12,  -0.16,   0.05,  -0.13,  -0.31,   0.09,  -0.08
19270808,  -1.14,  -0.37,  -0.64,  -0.78,  -0.96,  -0.95,  -1.09,  -1.48,  -1.42,  -2.11
19270809,  -0.11,   0.74,   0.86,   0.74,   0.76,   0.88,   0.93,   1.15,   1.31,   1.54
19270810,   0.19,  -0.96,  -0.11,   0.84,   0.27,   0.36,   0.06,   0.73,   0.00,   0.14
19270811,  -0.18,  -0.66,  -0.68,  -0.45,  -1.01,  -0.72,  -0.76,  -1.57,  -1.23,  -3.29
